,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
I293,Excited face 2,Person,Flickr/Shreyans Bhansali,5.823529412,1.038008038,102,4.069306931,1.698572493,101
I294,Excited face 3,Person,Pixabay,5.759259259,0.965482499,108,3.471153846,1.712074372,104
I295,Excited face 4,Person,Wikipedia,4.247524752,0.931728937,101,3.087378641,1.566229368,103
I296,Excited face 5,Person,Pixabay,5.653465347,1.062408994,101,3.708737864,1.752483213,103
I297,Excited face 6,Person,Pixabay,5.731481481,1.028622902,108,3.480769231,1.618945895,104
I298,Excited face 7,Person,Pixabay,4.752475248,1.374088357,101,3.485436893,1.67369544,103
I299,Exercise 1,Person,Pixabay,4.705882353,1.165411034,102,3.633663366,1.585703454,101
I300,Exercise 2,Person,Pixabay,4.685185185,1.073453229,108,3.903846154,1.634098016,104
I301,Exercise 3,Person,Pixabay,4.833333333,1.186419302,102,4.297029703,1.578255711,101
I302,Explosion 1,Scenery,Pixabay,2.647058824,1.571069251,102,5.148514851,1.68751971,101
I303,Explosion 2,Scenery,Pixabay,2.376237624,1.580199261,101,4.990291262,1.927586857,103
I304,Explosion 3,Scenery,Pixabay,2.648148148,1.602071176,108,4.923076923,1.898861732,104
I305,Explosion 4,Scenery,Pixabay,2.5,1.336056409,108,4.307692308,2.034063908,104
I306,Explosion 5,Scenery,Pixabay,1.823529412,1.30050839,102,5.455445545,1.797357797,101
I307,Explosion 6,Scenery,Pixabay,2.257425743,1.246222013,101,4.815533981,1.903287006,103
I308,Father 1,Person,Pixabay,6.02970297,1.081253398,101,4.398058252,1.832922267,103
I309,Feces 1,Object,Wikipedia,2.137254902,1.034448394,102,3.069306931,1.945545814,101
I310,Feces 2,Object,Wikipedia,2.009803922,1.029227318,102,3.524752475,2.057153662,101
I311,Fence 1,Object,Pixabay,3.732673267,0.773189357,101,2.155339806,1.47367276,103
I312,Fence 2,Object,Pixabay,4.217821782,0.5586405,101,2.300970874,1.49400732,103
I313,Fence 3,Object,Pixabay,3.852941176,0.788494729,102,2.495049505,1.390134975,101
I314,Fence 4,Object,Pixabay,2.882352941,1.101700914,102,3.158415842,1.553915527,101
I315,Fence 5,Object,Pixabay,3.774509804,1.042719813,102,2.069306931,1.430086891,101
I316,Fence 6,Object,Pixabay,4.31372549,1.024263968,102,2.504950495,1.353689495,101
I317,Ferret 1,Animal,Pixabay,2.803921569,1.19436976,102,4.485148515,1.905853412,101
I318,Fire 1,Person,Pixabay,4.407407407,1.21545374,108,4.355769231,1.700475486,104
I319,Fire 2,Scenery,Pixabay,1.962962963,1.252481096,108,4.682692308,1.981783168,104
I320,Fire 3,Scenery,Pixabay,2.055555556,1.117685637,108,4.519230769,2.024034082,104
I321,Fire 4,Scenery,Pixabay,4.323529412,1.35092022,102,4.207920792,1.739636926,101
I322,Fire 5,Scenery,Pixabay,1.735294118,0.984297212,102,5.287128713,1.818442376,101
I323,Fire 6,Scenery,Pixabay,2.227722772,1.271858389,101,4.524271845,1.994328528,103
I324,Fire 7,Scenery,Pixabay,1.742574257,0.901703558,101,4.601941748,2.087966483,103
I325,Fire 8,Scenery,Pixabay,4.198019802,1.697172955,101,4.689320388,1.889232266,103
I326,Fire 9,Scenery,Pixabay,1.470588235,0.740696519,102,5.148514851,1.888841648,101
I327,Fire 10,Scenery,Pixabay,2.470588235,1.199883512,102,4.663366337,1.733650644,101
I328,Fire 11,Scenery,Pixabay,1.754901961,1.111918105,102,5.316831683,1.897001281,101
I329,Fire hydrant 1,Object,Pixabay,4.196078431,0.718072443,102,2.326732673,1.327470609,101
I330,Fire hydrant 2,Object,Pixabay,4.222222222,0.714775088,108,1.980769231,1.246204095,104
I331,Fire hydrant 3,Object,Pixabay,4.245098039,0.66654532,102,2.346534653,1.395963062,101
I332,Fire hydrant 4,Object,Pixabay,4.435185185,0.949895697,108,2.298076923,1.385639299,104
I333,Fireman 1,Person,Pixabay,3.098039216,1.465847533,102,4.861386139,1.755162118,101
I334,Fireworks 1,Scenery,Pixabay,6.157407407,0.887736142,108,4.423076923,1.777378388,104
I335,Fireworks 2,Scenery,Pixabay,6.274509804,0.902766515,102,4.98019802,1.743446002,101
I336,Fireworks 3,Scenery,Wikipedia,6.088235294,0.996060967,102,4.633663366,1.707177626,101
I337,Fireworks 4,Scenery,Wikipedia,5.953703704,0.910830567,108,4.317307692,1.725111073,104
I338,Fireworks 5,Scenery,Wikipedia,5.803921569,1.12610092,102,4.207920792,1.639004769,101
I339,Fireworks 6,Scenery,Wikipedia,6.107843137,0.984099958,102,4.782178218,1.597522835,101
I340,Fireworks 7,Scenery,Wikipedia,5.752475248,1.143730218,101,4.446601942,1.588735811,103
I341,Flood 1,Scenery,Pixabay,2.362745098,1.041602114,102,4.128712871,1.712678407,101
I342,Flood 2,Scenery,Pixabay,2.356435644,1.100764811,101,3.854368932,1.795461419,103
I343,Flood 3,Scenery,Pixabay,2.294117647,1.156884133,102,4.287128713,1.745489236,101
I344,Flowers 1,Object,Pixabay,5.762376238,1.040658588,101,3.67961165,1.821514088,103
I345,Flowers 2,Object,Pixabay,5.950980392,1.04717868,102,3.455445545,1.791785436,101
I346,Flowers 3,Object,Pixabay,5.792079208,1.098333571,101,3.708737864,1.845137053,103
I347,Flowers 4,Object,Pixabay,5.702970297,1.08207721,101,3.718446602,1.773539033,103
I348,Flowers 5,Object,Pixabay,5.633663366,1.120024752,101,3.485436893,1.620119081,103
I349,Flowers 6,Object,Pixabay,5.944444444,0.915426802,108,3.009615385,1.663399212,104
I350,Flowers 7,Object,Pixabay,5.683168317,1.112930304,101,3.495145631,1.702787717,103
I351,Flowers 8,Object,Pixabay,5.911764706,0.965780259,102,3.702970297,1.706133374,101
I352,Flowers 9,Object,Pixabay,5.891089109,1.13930672,101,4.077669903,1.775041123,103
I353,Flowers 10,Object,Pixabay,5.259259259,1.155000266,108,3.163461538,1.613718957,104
I354,Food 1,Object,Pixabay,4.843137255,1.02198698,102,3.148514851,1.519119078,101
I355,Food 2,Object,Pixabay,5.342592593,1.298180157,108,2.961538462,1.900041272,104
I356,Food 3,Object,Pixabay,5.303921569,1.032052801,102,2.841584158,1.665729109,101
I357,Food 4,Object,Pixabay,5.611111111,0.965123917,108,3.423076923,1.831187782,104
I358,Food 5,Object,Pixabay,5.470588235,1.040809684,102,3.148514851,1.716893349,101
I359,Food 6,Object,Pixabay,5.656862745,0.99000048,102,3.673267327,1.744184112,101
I360,Football player 1,Person,Pixabay,4.768518519,1.196618924,108,3.576923077,1.593020625,104
I361,Frisbee 1,Person,Pixabay,5.588235294,1.171889742,102,3.217821782,1.55951249,101
I362,Frustrated pose 1,Person,Wikipedia,2.352941176,1.030688118,102,4.247524752,1.807793907,101
I363,Frustrated pose 2,Person,Pixabay,2.637254902,0.865044103,102,3.485148515,1.658998863,101
I364,Frustrated pose 3,Person,Pixabay,2.351851852,0.889343082,108,3.557692308,1.783565335,104
I365,Frustrated pose 4,Person,Wikipedia,3.421568627,0.883694702,102,3.277227723,1.484040511,101
I366,Frustrated pose 5,Person,Wikipedia,2.460784314,0.991763792,102,3.742574257,1.706771604,101
I367,Frustrated pose 6,Person,Flickr/Emergency Brake,4.683168317,1.028889625,101,4.038834951,1.781838278,103
I368,Frustrated pose 7,Person,Wikipedia,2.696078431,1.012684069,102,3.25,1.552937913,100
I369,Frustrated pose 8,Person,Pixabay,3.740740741,0.950851761,108,3.365384615,1.723947222,104
I370,Funeral 1,Scenery,Pixabay,2.921568627,1.183101098,102,4.237623762,1.892873555,101
I371,Galaxy 1,Scenery,Pixabay,5.598039216,1.179526704,102,4.089108911,1.965192153,101
I372,Galaxy 2,Scenery,Pixabay,5.772277228,1.028408364,101,4.436893204,1.918281006,103
I373,Galaxy 3,Scenery,Pixabay,5.450980392,1.239829523,102,4.00990099,1.889418162,101
I374,Galaxy 4,Scenery,Pixabay,5.431372549,1.238889665,102,4.455445545,1.905385801,101
I375,Galaxy 5,Scenery,Pixabay,5.613861386,0.979492696,101,4.417475728,1.763042556,103
I376,Galaxy 6,Scenery,Pixabay,5.343137255,1.206378247,102,4.168316832,1.783644062,101
I377,Galaxy 7,Scenery,Pixabay,6.064814815,1.034662328,108,4.5,2.043222279,104
I378,Galaxy 8,Scenery,Pixabay,5.519607843,1.158100118,102,4.574257426,1.867332507,101
I379,Garbage dump 1,Scenery,Pixabay,2.196078431,0.975331532,102,2.861386139,1.72063769,101
I380,Garbage dump 2,Scenery,Pixabay,1.601851852,0.784663924,108,3.778846154,1.955607972,104
I381,Garbage dump 3,Scenery,Pixabay,2,1.024453489,102,3.465346535,1.797578129,101
I382,Garbage dump 4,Scenery,Pixabay,1.638888889,0.814108461,108,3.788461538,1.949224775,104
I383,Garbage dump 5,Scenery,Pixabay,2.137254902,1.005324594,102,3.326732673,1.697697917,101
I384,Garbage dump 6,Scenery,Pixabay,1.962962963,0.946473296,108,3.317307692,1.876085695,104
I385,Garbage dump 7,Scenery,Pixabay,2.735294118,1.176725366,102,2.475247525,1.603708573,101
I386,Garbage dump 8,Scenery,Pixabay,2.058823529,1.124202947,102,3.148514851,1.835135628,101
I387,Gargoyle 1,Object,Wikipedia,3.901960784,1.36802093,102,3.742574257,1.706771604,101
I388,Gargoyle 2,Object,Wikipedia,3.268518519,1.242596629,108,3.759615385,1.877279545,104
I389,Gazing 1,Person,Pixabay,4.862745098,1.090364783,102,3.089108911,1.649842477,101
I390,Gazing 2,Person,Pixabay,5.107843137,1.013833649,102,3.376237624,1.599071513,101
I391,Gazing 3,Person,Flickr/Joshua Blount,5.425925926,1.169740795,108,3.310679612,1.703681862,103
I392,Gazing 4,Person,Pixabay,4.490196078,1.01225264,102,3.00990099,1.367443231,101
I393,Gazing 5,Person,Pixabay,5.444444444,1.026138149,108,3.307692308,1.58926571,104
I394,Gazing 6,Person,Pixabay,5.843137255,1.050649003,102,3.485148515,1.652960141,101
I395,Gazing 7,Person,Wikipedia,4.980392157,1.071506686,102,3.564356436,1.532421884,101
I396,Goat 1,Animal,Flickr/Neil Piddock,5.333333333,1.222835681,108,3.307692308,1.763034251,104
I397,Goat 2,Animal,Pixabay,5.203703704,1.228624786,108,3.038461538,1.694783985,104
I398,Gorrila 1,Animal,Flickr/Antony Stanley,3.907407407,1.35023042,108,3.538461538,1.683287796,104
I399,Grass 1,Scenery,Pixabay,4.962962963,1.09310435,108,2.230769231,1.463011718,104
I400,Grass 2,Scenery,Pixabay,4.941176471,1.022746539,102,2.425742574,1.531969547,101
I401,Grass 3,Scenery,Pixabay,5.009803922,1.038802605,102,2.108910891,1.325903391,101
I402,Grass 4,Scenery,Pixabay,5.225490196,1.159607844,102,2.108910891,1.509311036,101
I403,Grass 5,Scenery,Pixabay,4.941176471,0.952573683,102,2.425742574,1.525428036,101
I404,Grass 6,Scenery,Pixabay,5.158415842,1.074548028,101,2.854368932,1.795461419,103
I405,Grass 7,Scenery,Pixabay,4.892156863,0.91095492,102,2.336633663,1.498514116,101
I406,Graveyard 1,Scenery,Wikipedia,3.203703704,1.25123684,108,3.461538462,1.683287796,104
I407,Graveyard 2,Scenery,Wikipedia,3.277227723,1.141216998,101,3.572815534,1.796521376,103
I408,Graveyard 3,Scenery,Wikipedia,3.578431373,1.230280291,102,3.613861386,1.593551361,101
I409,Graveyard 4,Scenery,Wikipedia,3.212962963,1.282891928,108,3.625,1.661602338,104
I410,Guitar 1,Person,Pixabay,5.527777778,0.971157257,108,3.259615385,1.570326738,104
I411,Gun 1,Object,Pixabay,2.732673267,1.475744484,101,4.019417476,1.883783128,103
I412,Gun 2,Person,Pixabay,2.745098039,1.114141987,102,4.198019802,1.574927312,101
I413,Gun 3,Object,Pixabay,2.970588235,1.550827836,102,4.02970297,1.681995515,101
I414,Gun 4,Object,Pixabay,2.862745098,1.455880637,102,3.891089109,1.754428626,101
I415,Gun 5,Object,Pixabay,2.921568627,1.539488629,102,4.118811881,1.807136568,101
I416,Gun 6,Object,Pixabay,2.841584158,1.514811363,101,3.961165049,1.939892508,103
I417,Gun 7,Object,Pixabay,2.881188119,1.563887008,101,4.019417476,1.894163287,103
I418,Gun 8,Object,Pixabay,3.079207921,1.45384434,101,3.941747573,1.7025082,103
I419,Gun 9,Object,Pixabay,2.882352941,1.43709083,102,4.346534653,1.734564173,101
I420,Gun 10,Object,Pixabay,2.643564356,1.507210393,101,4.174757282,1.886105982,103
I421,Hallway 1,Scenery,Wikipedia,2.611111111,1.126016329,108,3.375,1.946804701,104
I422,Hang gliding 1,Person,Wikipedia,5.055555556,1.198389366,108,4.346153846,1.788687379,104
I423,Hang gliding 2,Person,Wikipedia,5.176470588,1.102757702,102,4.198019802,1.574927312,101
I424,Hang gliding 3,Person,Wikipedia,4.931372549,1.064827452,102,4.099009901,1.539512588,101
I425,Hangover 1,Person,Pixabay,2.415841584,0.930240041,101,3.349514563,1.752917668,103
I426,Happy face 1,Person,Pixabay,5.472222222,0.990216943,108,3.028846154,1.560786028,104
I427,Happy face 2,Person,Pixabay,5.194444444,1.054215688,108,3.173076923,1.703464817,104
I428,Happy pose 1,Person,Wikipedia,4.888888889,1.277653613,108,3.875,1.664521273,104
I429,Happy pose 2,Person,Wikipedia,5.607843137,0.945619005,102,3.930693069,1.582766096,101
I430,Happy pose 3,Scenery,Wikipedia,5.742574257,0.986442754,101,3.932038835,1.670165754,103
I431,Heart 1,Object,Pixabay,4.666666667,1.017989995,102,2.772277228,1.515791464,101
I432,Heart 2,Object,Pixabay,4.925925926,1.157694322,108,3.096153846,1.59196545,104
I433,Heart 3,Object,Pixabay,4.745098039,1.011677115,102,2.534653465,1.459892848,101
I434,Horse 1,Animal,Pixabay,5.935185185,1.052572711,108,3.721153846,1.714907401,104
I435,Horse racing 1,Animal,Pixabay,4.215686275,1.539110267,102,4.306930693,1.566796568,101
I436,House 1,Scenery,Pixabay,4.705882353,0.885395647,102,3.069306931,1.576435382,101
I437,Injury 1,Person,Pixabay,1.970588235,0.999563096,102,4.534653465,1.905593642,101
I438,Injury 2,Person,Pixabay,2.092592593,0.767774269,108,4.057692308,2.042399707,104
I439,Injury 3,Person,Pixabay,1.970588235,0.927638142,102,4.702970297,1.936721738,101
I440,Injury 4,Person,Wikipedia,1.392156863,0.935090007,102,5.465346535,2.211625449,101
I441,Intensity 1,Person,Pixabay,2.81372549,1.140873316,102,4.148514851,1.835135628,101
I442,Jail 1,Scenery,Pixabay,2.225490196,0.973987037,102,3.732673267,1.777026106,101
I443,Jail 2,Scenery,Pixabay,2.01980198,1.191471343,101,3.650485437,2.008358699,103
I444,Jail 3,Scenery,Pixabay,2.519607843,1.19180695,102,3.900990099,1.857444214,101
I445,Jail 4,Scenery,Pixabay,2.111111111,1.044194752,108,3.432692308,1.788661283,104
I446,Jail 5,Scenery,Pixabay,3.068627451,1.351638565,102,3.287128713,1.728216616,101
I447,Keyboard 1,Object,Pixabay,4.166666667,0.758885756,102,2.148514851,1.451799839,101
I448,Keyboard 2,Object,Pixabay,4.108910891,0.61483315,101,2.368932039,1.577975193,103
I449,Keyboard 3,Object,Pixabay,4.333333333,0.722116435,102,2.287128713,1.485507547,101
I450,Keys 1,Object,Pixabay,4.02970297,0.655064051,101,2.368932039,1.540246296,103
I451,KKK rally 1,Person,Wikipedia,1.343137255,0.895479274,102,4.702970297,2.207009535,101
I452,KKK rally 2,Person,Wikipedia,1.254901961,0.713189385,102,4.98019802,2.107036772,101
I453,Knife 1,Object,Pixabay,3.245098039,1.2140781,102,3.623762376,1.70793141,101
I454,Knife 2,Object,Pixabay,3.343137255,1.048290433,102,3.702970297,1.559131518,101
I455,Lake 1,Scenery,Pixabay,6.254901961,0.897590554,102,3.97029703,1.961914603,101
I456,Lake 2,Scenery,Pixabay,6.392156863,0.869241877,102,3.891089109,2.024356639,101
I457,Lake 3,Scenery,Pixabay,5.962962963,0.926514178,108,3.221153846,1.965512017,104
I458,Lake 4,Scenery,Pixabay,5.787037037,1.09417255,108,3.278846154,1.98761569,104
I459,Lake 5,Scenery,Pixabay,5.95049505,1.061849685,101,4.300970874,1.877811364,103
I460,Lake 6,Scenery,Pixabay,4.480392157,0.852839081,102,2.475247525,1.432438895,101
I461,Lake 7,Scenery,Flickr/James Wheeler,6.092592593,1.027991755,108,3.586538462,1.948913448,104
I462,Lake 8,Scenery,Flickr/James Wheeler,6.205882353,0.91563142,102,3.96039604,1.859681651,101
I463,Lake 9,Scenery,Flickr/James Wheeler,6.411764706,0.824776491,102,4.108910891,1.917816415,101
I464,Lake 10,Scenery,Flickr/James Wheeler,6.147058824,1.008842674,102,3.811881188,1.874635278,101
I465,Lake 11,Scenery,Flickr/James Wheeler,5.715686275,1.04717868,102,3.98019802,1.794325489,101
I466,Lake 12,Scenery,Flickr/James Wheeler,6.376237624,0.870074539,101,4.72815534,1.761205997,103
I467,Lake 13,Scenery,Flickr/James Wheeler,6.166666667,0.98113038,108,3.721153846,1.98761569,104
I468,Lake 14,Scenery,Flickr/James Wheeler,6.31372549,0.943769482,102,4.663366337,1.644853961,101
I469,Lake 15,Scenery,Flickr/James Wheeler,6.247524752,0.920933663,101,4.631067961,1.74889484,103
I470,Lake 16,Scenery,Flickr/James Wheeler,6.108910891,0.926293583,101,4.291262136,1.763636328,103
I471,Lake 17,Scenery,Wikipedia,5.588235294,1.008409601,102,3.613861386,1.696881239,101
I472,Lamb 1,Animal,Pixabay,5.754901961,0.958921367,102,3.95049505,1.745716115,101
I473,Lava 1,Scenery,Pixabay,4.055555556,1.587529282,108,4.721153846,1.609780367,104
I474,Lightning 1,Scenery,Pixabay,4.852941176,1.172262421,102,4.524752475,1.622307365,101
I475,Lightning 2,Scenery,Wikipedia,4.257425743,1.383137487,101,4.621359223,1.698422018,103
I476,Lightning 3,Scenery,Wikipedia,4.588235294,1.284738608,102,4.792079208,1.716489625,101
I477,Lightning 4,Scenery,Wikipedia,4.460784314,1.361940728,102,4.831683168,1.619069529,101
I478,Lightning 5,Scenery,Wikipedia,4.411764706,1.307654095,102,4.534653465,1.652660621,101
I479,Lightning 6,Scenery,Wikipedia,4.490196078,1.447052984,102,4.712871287,1.602102579,101
I480,Lightning 7,Scenery,Wikipedia,4.435643564,1.195122099,101,4.466019417,1.673411064,103
I481,Lion 1,Animal,Pixabay,5.01980198,1.240807785,101,4.339805825,1.630309715,103
I482,Lion 2,Animal,Flickr/Matt Reinbold,3.656862745,1.479196317,102,4.277227723,1.75566974,101
I483,Lion 3,Animal,Flickr/arlo,4.944444444,1.244301653,108,3.788461538,1.710465087,104
I484,Lion 4,Animal,Flickr/Glen Bowman,4.62745098,1.475352407,102,4.217821782,1.706481529,101
I485,Lion 5,Animal,Wikipedia,3.725490196,1.387046601,102,4.693069307,1.647680638,101
I486,Massage 1,Person,Wikipedia,5.705882353,1.039689932,102,4.168316832,1.709206289,101
I487,Massage 2,Person,Flickr/Synergy ByDesign,5.754901961,1.102977738,102,4.118811881,1.750926205,101
I488,Meerkat 1,Animal,Pixabay,4.953703704,1.179135271,108,3.346153846,1.647411802,104
I489,Memorial 1,Scenery,Pixabay,4.666666667,1.464655086,102,4.4,1.880253583,100
I490,Memorial 2,Scenery,Pixabay,2.96039604,1.355881942,101,3.873786408,1.908081942,103
I491,Memorial 3,Scenery,Pixabay,3.055555556,1.452251448,108,3.528846154,1.778822185,104
I492,Miserable face 1,Person,Wikipedia,3.524752475,1.082534613,101,3.436893204,1.713097773,103
I493,Miserable face 2,Person,Pixabay,2.588235294,1.154868654,102,3.891089109,1.82702485,101
I494,Miserable pose 1,Person,Wikipedia,2.558823529,0.970592647,102,3.435643564,1.657804823,101
I495,Miserable pose 2,Person,Pixabay,2.796296296,0.914670251,108,3.163461538,1.684368897,104
I496,Miserable pose 3,Person,Wikipedia,1.107843137,0.419968475,102,5.148514851,2.342588904,101
I497,Miserable pose 4,Person,Wikipedia,2.583333333,0.977551777,108,3.961538462,1.606558626,104
I498,Miserable pose 5,Person,Pixabay,2.950980392,0.947925833,102,3.445544554,1.584141708,101
I499,Money 1,Object,Pixabay,4.96039604,1.148222906,101,3.67961165,1.744535402,103
I500,Monkey 1,Animal,Pixabay,4.871287129,1.13721912,101,4.213592233,1.600554349,103
I501,Monkey 2,Animal,Flickr/Jo Christian Oterhals,4.029411765,1.31597859,102,3.722772277,1.685934826,101
I502,Monkey 3,Animal,All-free-download.com,3.62037037,1.228307799,108,3.567307692,1.699596886,104
I503,Monkey 4,Animal,Pixabay,2.861111111,1.097646874,108,3.682692308,1.796784739,104
I504,Moon 1,Scenery,Pixabay,5.274509804,1.178662296,102,3.613861386,1.810913013,101
I505,Mother 1,Person,Pixabay,6.107843137,1.159607844,102,4.089108911,1.749851479,101
I506,Mother 2,Person,Pixabay,5.925925926,1.020387536,108,3.846153846,1.711010777,104
I507,Mother 3,Person,Pixabay,5.089108911,1.510622454,101,4.106796117,1.685652381,103
I508,Mother 4,Person,Pixabay,6.049019608,1.163618894,102,4.089108911,1.721040441,101
I509,Mother 5,Person,Pixabay,5.935185185,1.0164364,108,3.509615385,1.625017952,104
I510,Mother 6,Person,Pixabay,6.078431373,1.15772288,102,4.445544554,1.72322516,101
I511,Mother 7,Person,Pixabay,6.03960396,1.199339752,101,4.300970874,1.649925438,103
I512,Mother 8,Person,Pixabay,5.931372549,1.244869105,102,3.97029703,1.796972151,101
I513,Mother 9,Person,Flickr/Graco Children Products,5.981481481,1.110539832,108,3.634615385,1.801065986,104
I514,Motocross 1,Person,Pixabay,4.777777778,1.016989633,108,3.865384615,1.7463287,104
I515,Musician 1,Person,Pixabay,5.407407407,0.947569809,108,3.211538462,1.543373414,104
I516,Nature 1,Scenery,Pixabay,6.118811881,0.972492969,101,4.427184466,1.752320264,103
I517,Nature 2,Scenery,Pixabay,5.666666667,1.046761468,102,3.574257426,1.756966332,101
I518,Neonazi 1,Person,Wikipedia,2.039215686,1.475352407,102,4.435643564,2.142035675,101
I519,Neutral face 1,Person,Wikipedia,3.960784314,0.716448455,102,2.405940594,1.350394149,101
I520,Neutral face 2,Person,Pixabay,4.675925926,0.905112207,108,2.182692308,1.391823719,104
I521,Neutral face 3,Person,Pixabay,4.504950495,0.986141596,101,2.621359223,1.435655926,103
I522,Neutral face 4,Person,Pixabay,3.891089109,0.870643327,101,2.178217822,1.306874436,101
I523,Neutral face 5,Person,Pixabay,4.980392157,1.052864007,102,3.772277228,1.678577899,101
I524,Neutral pose 1,Person,Pixabay,5.058823529,1.022746539,102,3.01980198,1.5425965,101
I525,Neutral pose 2,Scenery,Pixabay,5.254901961,1.122993476,102,3.663366337,1.668995073,101
I526,Neutral pose 3,Person,Pixabay,3.811881188,0.56058668,101,2.601941748,1.437180013,103
I527,Nude couple 1,Person,Wikipedia,5.421568627,1.205895374,102,4.99009901,1.337871814,101
I528,Nude couple 2,Person,Wikipedia,5.441176471,1.076973477,102,4.405940594,1.550343303,101
I529,Nude couple 3,Person,Flickr/you me,5.450980392,1.095693198,102,4.504950495,1.411550654,101
I530,Nude couple 4,Person,Flickr/Marquis C.,5.362745098,1.060442796,102,4.465346535,1.389707569,101
I531,Nude couple 5,Person,Wikipedia,5.685185185,1.350999271,108,5.346153846,1.290512285,104
I532,Nude couple 6,Person,Flickr/kris krueg,5.297029703,1.571906832,101,5.427184466,1.746716481,103
I533,Nude couple 7,Person,Wikipedia,5.693069307,1.065294084,101,4.213592233,1.718700406,103
I534,Nude couple 8,Person,DeviantArt,5.277777778,1.266633874,108,4.701923077,1.51932412,104
I535,Nude couple 9,Person,Flickr/Jaume Ventura,5.166666667,1.320690888,102,5.059405941,1.369830516,101
I536,Nude couple 10,Person,Wikipedia,5.5,1.06007659,102,4.297029703,1.459757202,101
I537,Nude couple 11,Person,Wikipedia,4.647058824,1.816574182,102,5.722772277,1.668045634,101
I538,Nude couple 12,Person,Flickr/dat,5.068627451,1.291708546,102,5.217821782,1.229666299,101
I539,Nude couple 13,Person,Wikipedia,5.794117647,1.037306444,102,4.514851485,1.578694786,101
I540,Nude couple 14,Person,Wikipedia,4.841584158,2.033384731,101,5.621359223,1.884490386,103
I541,Nude man 1,Person,Flickr/Charles Roffey,4.382352941,0.856473516,102,3.287128713,1.639125582,101
I542,Nude man 2,Person,Flickr/Charles Roffey,4.441176471,1.049030948,102,3.059405941,1.605127921,101
I543,Nude man 4,Person,Flickr/Swire,4.588235294,1.35232064,102,3.663366337,1.773568311,101
I544,Nude man 5,Person,Flickr/Travis75,4.712871287,1.451458809,101,3.611650485,1.916046838,103
I545,Nude man 6,Person,Flickr/sea turtle,4,1.194044628,102,3.524752475,1.729705521,101
I546,Nude man 7,Person,Flickr/O. G.,4.514851485,1.154243141,101,3.747572816,1.983848738,103
I547,Nude man 8,Person,Flickr/John Goodridge,3.168316832,1.655713181,101,3.757281553,2.130387148,103
I548,Nude man 9,Person,Flickr/Rodrigo S_ Barreto,3.398148148,1.004102006,108,3.5,1.806138401,104
I549,Nude man 10,Person,Wikipedia,3.544554455,1.578130238,101,3.718446602,2.224716222,103
I550,Nude man 11,Person,Wikipedia,3.176470588,1.804349885,102,4.158415842,2.243803348,101
I551,Nude man 12,Person,Flickr/Chris Hunkeler,4.663366337,1.060916846,101,3.40776699,1.838780996,103
I552,Nude man 13,Person,Flickr/Sasha Kargaltsev,4.297029703,1.153642531,101,3.485436893,1.835724346,103
I553,Nude man 14,Person,Flickr/See-ming Lee,4.342592593,1.415283975,108,3.701923077,1.970066322,104
I554,Nude man 15,Person,Wikipedia,3.861386139,1.536422487,101,3.54368932,2.032947725,103
I555,Nude man 16,Person,Flickr/David Shankbone,4.425925926,1.473781478,108,3.884615385,2.006337978,104
I556,Nude man 17,Person,Wikipedia,3.722772277,1.436097572,101,3.485436893,2.052564525,103
I557,Nude man 18,Person,Wikipedia,3.537037037,1.328521952,108,3.519230769,1.960685284,104
I558,Nude man 19,Person,Wikipedia,4.768518519,1.180895284,108,3.798076923,1.876682715,104
I559,Nude man 20,Person,Wikipedia,3.481481481,1.836705103,108,4.221153846,2.198661247,104
I560,Nude man 3,Person,Flickr/Charles Roffey,4.303921569,1.115056414,102,3.257425743,1.809162598,101
I561,Nude man 21,Person,Wikipedia,3.549019608,1.816467309,102,4.306930693,2.028509671,101
I562,Nude man 22,Person,Wikipedia,4.803921569,1.062774397,102,3.900990099,1.757867745,101
I563,Nude man 23,Person,Flickr/Sasha Kargaltsev,3.980392157,1.489104935,102,3.594059406,1.668401737,101
I564,Nude woman 1,Person,Wikipedia,5,1.240967365,101,4.398058252,1.848899014,103
I565,Nude woman 2,Person,Wikipedia,4.623762376,1.672432272,101,4.708737864,2.032245295,103
I566,Nude woman 3,Person,Wikipedia,4.617647059,1.740855131,102,5.346534653,1.7688168,101
I567,Nude woman 4,Person,Wikipedia,3.871287129,1.425926831,101,4.67961165,1.81612382,103
I568,Nude woman 5,Person,Wikipedia,5.352941176,1.302298492,102,4.940594059,1.804559681,101
I569,Nude woman 6,Person,Pixabay,4.803921569,1.23512308,102,4.455445545,1.723512416,101
I570,Nude woman 7,Person,Pixabay,5.178217822,1.329631826,101,4.699029126,1.84090212,103
I571,Nude woman 8,Person,Pixabay,5.37254902,1.413664353,102,4.782178218,1.847181423,101
I572,Nude woman 9,Person,Pixabay,5.205882353,1.696462454,102,4.762376238,1.866271764,101
I573,Nude woman 10,Person,Pixabay,5.046296296,1.693220452,108,5.173076923,1.464414842,104
I574,Nude woman 11,Person,Pixabay,5.185185185,1.559703711,108,4.913461538,1.481999285,104
I575,Nude woman 12,Person,Pixabay,5.207920792,1.351420228,101,4.922330097,1.807876668,103
I576,Nude woman 13,Person,Pixabay,5.296296296,1.542296257,108,5.259615385,1.539103208,104
I577,Nude woman 14,Person,Pixabay,5.088235294,1.357800647,102,4.95049505,1.739978377,101
